company_name,policy_id,question,answer,topic,tags,related_questions,has_related_questions,num_tags,policy_length,num_related_questions
Salesforce,q1,What is Salesforce's commitment to human rights?,"Salesforce is committed to respecting human rights across its business and value chain, informed by the International Bill of Human Rights, the UN Guiding Principles on Business and Human Rights, and the OECD Guidelines for Multinational Enterprises. Salesforce engages with governments, partners, and civil society to support human rights.",Human Rights Commitment,"['human rights', 'commitment', 'values', 'principles']",[],False,4,388,0
Salesforce,q2,How does Salesforce implement human rights due diligence?,"Salesforce integrates human rights due diligence by embedding commitment in business processes, assessing risks, and maintaining oversight through an internal governance structure. Remedy mechanisms are in place, alongside reporting processes to track performance and accountability.",Human Rights Due Diligence,"['due diligence', 'implementation', 'governance', 'oversight']","[""What are Salesforce's human rights due diligence processes?"", 'Does Salesforce have a governance structure for human rights?']",True,4,340,2
Salesforce,q3,What is Salesforce's approach to privacy?,"Salesforce views privacy as a fundamental right and has a privacy program aligned with global data protection laws. Salesforce regularly refines its privacy measures, including data processing transparency and protecting data security across cloud services.",Customer Privacy,"['privacy', 'data protection', 'security', 'customers']",[],False,4,298,0
Salesforce,HR004,How does Salesforce ensure ethical and inclusive product development?,"Salesforce commits to ethical technology use, focusing on responsible AI, ethical use policy, accessibility, and inclusive design. Salesforce participates in AI ethics initiatives like the UNESCO Business Council for Ethics of AI.",Ethical and Inclusive Technology,"['AI', 'ethical technology', 'inclusive design', 'responsible AI']","[""What is Salesforce's ethical stance on AI?"", 'How does Salesforce design inclusive products?']",True,4,299,2
Salesforce,HR005,What health and safety measures does Salesforce have for employees?,"Salesforce promotes a safe work environment through health and safety management systems, open communication, and compliance with laws. Salesforce aims to prevent incidents and continually improve safety standards.",Employee Health and Safety,"['health', 'safety', 'workplace', 'employees']",[],False,4,281,0
Salesforce,HR006,What is Salesforce's policy on equality and non-discrimination?,"Salesforce champions inclusiveness and diversity, with equal opportunity policies for all employees, irrespective of personal characteristics. Salesforce promotes pay equity and works against harassment and bullying in the workplace.",Equality and Non-Discrimination,"['equality', 'non-discrimination', 'diversity', 'workplace']","['How does Salesforce address workplace equality?', 'Does Salesforce support diversity?']",True,4,296,2
Salesforce,HR007,What are Salesforce's commitments regarding forced and child labor?,"Salesforce prohibits forced, bonded, or child labor and does not tolerate human trafficking. Salesforce's policies ensure voluntary labor, legal rights, and unrestricted movement for employees.",Labor Practices,"['forced labor', 'child labor', 'human trafficking', 'labor rights']",[],False,4,260,0
Salesforce,HR008,How does Salesforce engage with suppliers regarding human rights?,"Salesforce expects suppliers to uphold human rights through its Global Supplier Code of Conduct. High-risk suppliers undergo regular audits, and corrective actions are taken when necessary.",Supplier Engagement,"['suppliers', 'human rights', 'supplier code of conduct', 'audits']",[],False,4,254,0
Salesforce,HR009,What is Salesforce's stance on environmental sustainability?,"Salesforce supports environmental sustainability, advocating for climate action, decarbonization, and resource equity. Salesforce has several policy priorities focused on climate and nature conservation.",Environmental Sustainability,"['environment', 'sustainability', 'climate', 'resource equity']","[""What are Salesforce's environmental commitments?"", 'How does Salesforce address climate change?']",True,4,263,2
Salesforce,HR010,How does Salesforce interact with Indigenous communities?,"Salesforce respects Indigenous rights, supports decision-making in nature-based solutions, and upholds Free, Prior, and Informed Consent for local communities and Indigenous peoples.",Indigenous Rights,"['indigenous rights', 'communities', 'FPIC', 'sustainability']",[],False,4,239,0
Salesforce,HR011,What is Salesforce's process for grievance and remediation?,"Salesforce provides a secure, confidential reporting line for grievances with non-retaliation commitments. Salesforce encourages good-faith reporting on potential policy violations and unethical conduct.",Grievance Mechanisms,"['grievance', 'remediation', 'reporting', 'ethics']","['How can I report a concern to Salesforce?', ""What is Salesforce's process for addressing grievances?""]",True,4,262,2
IBM,BC001,What is IBM's commitment regarding business conduct and ethics?,"IBM is committed to conducting itself ethically and lawfully in all matters, maintaining high standards of business integrity.",Business Conduct and Ethics,"['business conduct', 'ethics', 'integrity', 'compliance']",[],False,4,189,0
IBM,BC002,What should employees do if they suspect a violation of IBM's guidelines?,Employees should consult their management immediately or report the violation through the Open Door or Speak-Up programs.,Business Conduct and Ethics,"['reporting', 'guidelines', 'employee responsibility']",[],False,3,194,0
IBM,R001,What is IBM's policy on reciprocity in purchasing?,"IBM's policy prohibits buying or selling on a reciprocity basis to ensure purchases are based on quality, price, and supplier reliability.",Reciprocity,"['reciprocity', 'purchasing policy', 'supplier relationships']",[],False,3,188,0
IBM,R002,Why is reciprocity considered detrimental to IBM's business?,Using reciprocity could limit the supplier field and jeopardize product quality and pricing.,Reciprocity,"['reciprocity', 'business impact', 'quality']",[],False,3,152,0
IBM,WD001,How does IBM approach workforce diversity?,IBM prioritizes achieving the full potential of a diverse workforce through equal opportunity and an inclusive workplace.,Workforce Diversity,"['diversity', 'inclusion', 'equal opportunity']",[],False,3,163,0
IBM,WD002,"What characteristics does IBM not consider in hiring, promotion, and compensation?","IBM does not consider race, color, religion, sex, gender identity, sexual orientation, national origin, genetics, pregnancy, disability, age, and other characteristics.",Workforce Diversity,"['equal treatment', 'employment practices']",[],False,2,250,0
IBM,HS001,What is the main objective of IBM's health and safety management system?,The main objective is to provide a safe and healthy workplace and prevent injuries and illnesses.,Health and Safety,"['health', 'safety', 'management system']",[],False,3,169,0
IBM,HS002,What are IBM's commitments regarding health and safety?,"IBM is committed to complying with legal requirements, reducing risks by controlling hazards, and promoting participation in continuous improvement.",Health and Safety,"['commitment', 'legal compliance', 'continuous improvement']",[],False,3,203,0
IBM,DP001,What is IBM's commitment to data privacy?,"IBM is committed to protecting the privacy and confidentiality of Personal Information about employees, customers, business partners, and other identifiable individuals.",Data Privacy,"['data privacy', 'personal information', 'confidentiality']",[],False,3,210,0
IBM,DP002,What principles guide IBM's data processing practices?,"Key principles include fairness, purpose limitation, data minimization, accuracy, retention, disclosure, security, individual rights, custodianship, and accountability.",Data Privacy,"['data processing', 'principles', 'governance']",[],False,3,222,0
IBM,DBR001,How does IBM support diverse businesses?,"IBM provides diverse businesses the opportunity to participate in marketing, procurement, and contracting activities without regard to the owner's race, color, religion, gender, or other characteristics.",Diverse Business Relationships,"['diverse businesses', 'opportunity', 'inclusion']",[],False,3,243,0
IBM,DBR002,What legal compliance does IBM follow in the United States regarding diverse businesses?,"IBM complies with all applicable federal, state, and local laws, including those related to small businesses and minority-owned enterprises.",Diverse Business Relationships,"['compliance', 'laws', 'diversity']",[],False,3,228,0
IBM,EA001,What is IBM's commitment to environmental affairs?,"IBM is committed to environmental leadership, providing a safe workplace, protecting the environment, and conserving natural resources.",Environmental Affairs,"['environment', 'leadership', 'conservation']",[],False,3,185,0
IBM,EA002,What specific actions does IBM take to uphold its environmental policy?,"IBM aims to reduce waste, improve energy efficiency, ensure responsible use of energy, and comply with all applicable environmental regulations.",Environmental Affairs,"['sustainability', 'energy efficiency', 'waste reduction']",[],False,3,215,0
IBM,Q001,What is IBM's commitment to quality?,"IBM is committed to achieving the highest standards of quality, which forms the basis of its value proposition, brand image, and lasting relationships with clients. The company evaluates quality through client perception and aims to deliver value in every interaction.",Quality Commitment,"['quality', 'commitment', 'client relations', 'value proposition']",[],False,4,304,0
IBM,Q002,How does IBM measure success in terms of quality?,"Success is measured by the clientâ€™s decision to choose and recommend IBM to their business partners, colleagues, and friends, alongside client feedback that informs improvements in experience and quality.",Quality Measurement,"['success measurement', 'client feedback', 'improvement']",[],False,3,255,0
IBM,Q003,Who is responsible for driving quality goals at IBM?,"IBM leaders are responsible for understanding client interactions, defining measurements and improvement targets, and driving actions to achieve quality goals. All IBM employees are expected to model the nine IBM practices.",Quality Responsibility,"['leadership', 'employee responsibility', 'quality goals']",[],False,3,275,0
IBM,P001,What is IBM's policy on political participation?,"IBM encourages participation in politics as private citizens, not as IBMers. The company does not make contributions of resources to political candidates or parties, applying this policy equally in all countries.",Politics,"['political participation', 'policy', 'corporate responsibility']",[],False,3,260,0
IBM,P002,What accommodations does IBM provide for employees involved in political activities?,IBM accommodates employees who need to be away from work for political activities but does not pay for time off. Local laws regarding public office take precedence if they require paid time off.,Political Activities Accommodation,"['accommodation', 'political activity', 'employee rights']",[],False,3,278,0
IBM,P003,What procedures does IBM have to avoid conflicts of interest for employees in government?,"IBM has instituted procedures designed to avoid conflict of interest situations for employees holding government offices, which must be followed to ensure compliance.",Conflict of Interest,"['conflict of interest', 'government employees', 'compliance']",[],False,3,255,0
IBM,HR001,What are IBM's human rights principles?,"IBM is committed to high standards of corporate responsibility, including environmental responsibility and respect for human rights, informed by international standards such as the UN Guiding Principles on Business and Human Rights.",Human Rights Principles,"['human rights', 'corporate responsibility', 'ethical standards']",[],False,3,271,0
IBM,HR002,How does IBM approach corporate responsibility?,"IBM takes a thoughtful, comprehensive approach to corporate responsibility, focusing on support for employees and communities, environmental impact, supply chain management, and governance.",Corporate Responsibility,"['corporate responsibility', 'stakeholder engagement', 'environmental impact']",[],False,3,236,0
IBM,HR003,What societal issues does IBM focus its engagement and programs on?,"IBM focuses on community economic development, education, health, literacy, language, and culture to apply technology and talent to solve problems and advance human rights.",Societal Issues Engagement,"['societal issues', 'community development', 'education']",[],False,3,239,0
